Record,Date/Time,10,Tamb(C),Rh(%),Pres(hPa),Tir(¡æ),Rain,Vint(cm),Lqint(mm),CloudBase(km),0.000km,0.050km,0.100km,0.150km,0.200km,0.250km,0.300km,0.350km,0.400km,0.450km,0.500km,0.600km,0.700km,0.800km,0.900km,1.000km,1.100km,1.200km,1.300km,1.400km,1.500km,1.600km,1.700km,1.800km,1.900km,2.000km,2.250km,2.500km,2.750km,3.000km,3.250km,3.500km,3.750km,4.000km,4.250km,4.500km,4.750km,5.000km,5.250km,5.500km,5.750km,6.000km,6.250km,6.500km,6.750km,7.000km,7.250km,7.500km,7.750km,8.000km,8.250km,8.500km,8.750km,9.000km,9.250km,9.500km,9.750km,10.000km
1223,2018-08-02 19:47:21,12,28.700,76.900,999.200,25.3,1,10.918,3.516,0.814,21.901,21.966,21.676,21.246,20.972,20.631,20.771,20.836,20.276,19.971,20.052,20.160,19.512,18.971,18.803,18.398,17.959,17.205,17.322,16.965,17.011,16.474,15.939,15.503,15.369,15.036,13.836,12.570,11.559,10.963,10.413,9.479,8.486,7.845,7.230,6.455,5.754,5.213,4.754,4.330,4.062,3.604,3.223,2.873,2.516,2.168,1.859,1.591,1.333,1.074,0.835,0.641,0.499,0.391,0.306,0.239,0.192,0.166
1224,2018-08-02 19:47:21,13,28.700,76.900,999.200,25.3,1,10.918,3.516,0.814,76.901,77.101,76.992,76.319,76.004,75.849,78.045,80.177,79.547,78.118,78.249,80.683,79.948,80.092,81.595,82.846,81.509,80.332,83.539,84.353,87.010,86.021,87.054,88.827,91.523,93.339,93.009,92.828,90.683,93.492,97.171,100.000,100.000,100.000,99.403,100.000,100.000,100.000,100.000,100.000,97.221,90.700,85.842,85.064,82.200,79.967,72.634,67.023,61.506,56.186,49.001,41.368,36.596,32.878,30.217,25.830,23.222,24.764
1225,2018-08-02 19:47:21,14,28.700,76.900,999.200,25.3,1,10.918,3.516,0.814,0.133,0.189,0.225,0.247,0.260,0.267,0.276,0.281,0.288,0.296,0.299,0.311,0.324,0.327,0.327,0.326,0.332,0.333,0.338,0.347,0.356,0.358,0.358,0.359,0.356,0.358,0.353,0.356,0.353,0.358,0.355,0.355,0.357,0.357,0.354,0.355,0.349,0.340,0.332,0.323,0.302,0.261,0.206,0.167,0.113,0.035,0.017,0.007,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1226,2018-08-02 19:51:14,11,28.000,82.600,999.400,20.52,1,6.605,0.250,1.357,28.000,27.602,27.224,26.850,26.553,26.249,25.958,25.656,25.369,25.151,24.837,24.323,23.769,23.276,22.840,22.384,21.884,21.348,20.784,20.318,19.786,19.267,18.643,18.012,17.465,16.728,15.565,14.219,13.044,11.888,10.674,9.433,8.158,6.816,5.558,4.158,2.820,1.538,0.330,-0.937,-2.056,-3.174,-4.472,-5.911,-7.300,-8.646,-9.728,-10.919,-12.090,-13.346,-14.692,-16.137,-17.543,-18.953,-20.488,-22.006,-23.594,-25.403
1227,2018-08-02 19:51:14,12,28.000,82.600,999.400,20.52,1,6.605,0.250,1.357,22.639,23.026,22.843,22.501,22.214,21.913,21.612,21.331,21.056,20.816,20.488,20.020,19.480,19.023,18.598,18.184,17.814,17.419,17.035,16.650,16.246,15.727,15.208,14.697,14.252,13.598,12.672,11.633,10.657,9.761,8.942,8.254,7.530,6.824,6.186,5.642,5.189,4.792,4.410,4.015,3.612,3.219,2.858,2.531,2.232,1.952,1.686,1.433,1.196,0.980,0.792,0.635,0.505,0.397,0.309,0.239,0.186,0.150
1228,2018-08-02 19:51:14,13,28.000,82.600,999.400,20.52,1,6.605,0.250,1.357,82.599,85.870,86.983,87.471,87.792,88.076,88.289,88.621,88.898,88.964,89.123,89.646,90.012,90.396,90.604,90.932,91.683,92.465,93.436,93.832,94.450,94.265,94.570,94.874,95.047,94.784,94.745,94.419,92.991,91.516,90.485,90.369,89.464,88.442,87.060,87.132,87.658,88.307,88.283,87.764,85.369,82.362,80.212,78.841,76.957,74.382,69.683,64.829,59.147,53.430,47.958,43.114,38.400,33.894,29.919,26.263,23.403,22.128
1229,2018-08-02 19:51:14,14,28.000,82.600,999.400,20.52,1,6.605,0.250,1.357,0.029,0.039,0.045,0.049,0.052,0.053,0.055,0.057,0.060,0.062,0.064,0.067,0.070,0.069,0.065,0.062,0.062,0.060,0.059,0.058,0.058,0.058,0.053,0.054,0.050,0.050,0.047,0.047,0.044,0.044,0.041,0.035,0.033,0.030,0.029,0.027,0.024,0.023,0.022,0.021,0.020,0.017,0.015,0.015,0.014,0.013,0.008,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1230,2018-08-02 19:55:07,11,28.300,80.900,999.400,19.2,0,6.446,0.152,1.639,28.300,27.903,27.536,27.156,26.846,26.549,26.275,25.983,25.689,25.458,25.127,24.625,24.065,23.582,23.141,22.671,22.120,21.571,21.011,20.542,19.993,19.441,18.818,18.202,17.660,16.894,15.731,14.398,13.194,12.011,10.769,9.551,8.275,6.908,5.601,4.181,2.834,1.535,0.320,-0.970,-2.145,-3.327,-4.649,-6.118,-7.544,-8.920,-10.008,-11.222,-12.419,-13.681,-15.041,-16.511,-17.935,-19.344,-20.868,-22.412,-24.026,-25.790
1231,2018-08-02 19:55:07,12,28.300,80.900,999.400,19.2,0,6.446,0.152,1.639,22.541,22.930,22.758,22.425,22.144,21.842,21.532,21.249,20.989,20.752,20.410,19.923,19.382,18.930,18.501,18.081,17.704,17.316,16.922,16.532,16.110,15.591,15.075,14.566,14.117,13.460,12.534,11.501,10.528,9.625,8.790,8.094,7.375,6.680,6.051,5.516,5.069,4.679,4.305,3.920,3.527,3.144,2.792,2.475,2.186,1.916,1.658,1.410,1.178,0.966,0.783,0.629,0.501,0.394,0.306,0.236,0.184,0.148
1232,2018-08-02 19:55:07,13,28.300,80.900,999.400,19.2,0,6.446,0.152,1.639,80.899,84.106,85.180,85.714,86.104,86.338,86.420,86.682,87.041,87.176,87.347,87.706,88.067,88.404,88.598,88.940,89.886,90.740,91.600,91.963,92.535,92.497,92.777,92.978,93.062,92.890,92.780,92.327,91.015,89.557,88.412,87.949,86.959,86.053,84.930,85.053,85.548,86.241,86.239,85.886,83.888,81.305,79.375,78.253,76.762,74.509,69.980,65.273,59.748,54.057,48.737,44.005,39.328,34.739,30.582,26.839,24.028,22.584
1233,2018-08-02 19:55:07,14,28.300,80.900,999.400,19.2,0,6.446,0.152,1.639,0.016,0.022,0.027,0.029,0.033,0.033,0.036,0.036,0.040,0.040,0.043,0.046,0.048,0.047,0.044,0.039,0.039,0.039,0.038,0.039,0.037,0.036,0.033,0.034,0.029,0.030,0.027,0.027,0.025,0.025,0.023,0.021,0.019,0.019,0.018,0.017,0.017,0.015,0.015,0.014,0.015,0.013,0.011,0.011,0.011,0.011,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1234,2018-08-02 19:59:00,11,28.500,79.400,999.300,21.99,0,6.220,0.411,1.536,28.500,28.357,28.108,27.837,27.608,27.374,27.118,26.873,26.658,26.515,26.310,25.949,25.535,25.116,24.776,24.407,24.026,23.574,23.126,22.691,22.169,21.668,21.061,20.451,19.892,19.086,17.773,16.289,15.019,13.636,12.144,10.655,9.239,7.791,6.451,4.943,3.488,2.125,0.916,-0.295,-1.369,-2.475,-3.765,-5.211,-6.621,-7.971,-9.005,-10.257,-11.507,-12.818,-14.247,-15.728,-17.232,-18.800,-20.633,-22.260,-23.931,-25.931
1235,2018-08-02 19:59:00,12,28.500,79.400,999.300,21.99,0,6.220,0.411,1.536,22.366,22.739,22.553,22.209,21.921,21.624,21.346,21.070,20.776,20.533,20.221,19.771,19.224,18.750,18.329,17.920,17.539,17.111,16.729,16.343,15.960,15.462,14.950,14.449,14.026,13.408,12.507,11.484,10.534,9.661,8.865,8.167,7.446,6.748,6.113,5.564,5.099,4.687,4.290,3.890,3.492,3.115,2.770,2.456,2.165,1.893,1.636,1.394,1.167,0.958,0.775,0.621,0.493,0.389,0.303,0.235,0.184,0.148
1236,2018-08-02 19:59:00,13,28.500,79.400,999.300,21.99,0,6.220,0.411,1.536,79.399,81.358,81.801,81.758,81.722,81.663,81.759,81.805,81.632,81.318,81.000,80.806,80.412,80.293,80.005,79.864,79.870,79.946,80.182,80.299,80.803,80.572,80.692,80.802,81.040,81.222,81.897,82.191,81.420,81.274,81.798,82.745,82.530,82.088,81.133,81.561,82.356,82.994,82.489,81.320,78.670,75.828,73.909,72.699,71.032,68.591,64.037,59.976,55.200,50.155,45.348,40.853,36.610,32.782,29.685,26.378,23.831,22.866
1237,2018-08-02 19:59:00,14,28.500,79.400,999.300,21.99,0,6.220,0.411,1.536,0.016,0.024,0.030,0.036,0.039,0.042,0.044,0.050,0.054,0.058,0.060,0.069,0.082,0.084,0.081,0.082,0.083,0.080,0.083,0.085,0.088,0.091,0.087,0.088,0.087,0.087,0.085,0.086,0.087,0.088,0.086,0.077,0.078,0.071,0.069,0.069,0.059,0.057,0.054,0.053,0.045,0.037,0.030,0.027,0.024,0.015,0.010,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1238,2018-08-02 20:02:53,11,28.600,78.200,999.400,21.76,0,6.380,0.118,1.541,28.600,28.476,28.241,27.957,27.743,27.525,27.320,27.095,26.907,26.742,26.508,26.147,25.706,25.293,24.936,24.521,24.015,23.530,23.055,22.568,21.989,21.425,20.805,20.183,19.588,18.701,17.370,15.893,14.544,13.135,11.648,10.229,8.790,7.293,5.888,4.397,2.962,1.601,0.377,-0.901,-2.112,-3.348,-4.676,-6.199,-7.707,-9.123,-10.197,-11.525,-12.864,-14.147,-15.530,-17.082,-18.670,-20.264,-22.009,-23.644,-25.276,-27.176
1239,2018-08-02 20:02:53,12,28.600,78.200,999.400,21.76,0,6.380,0.118,1.541,22.149,22.548,22.384,22.055,21.777,21.481,21.181,20.906,20.654,20.434,20.112,19.648,19.127,18.695,18.281,17.873,17.503,17.120,16.741,16.367,15.960,15.453,14.946,14.450,14.009,13.363,12.446,11.421,10.456,9.562,8.737,8.048,7.338,6.649,6.023,5.484,5.031,4.634,4.256,3.872,3.480,3.101,2.753,2.438,2.153,1.888,1.635,1.393,1.166,0.958,0.777,0.624,0.496,0.390,0.303,0.234,0.182,0.148
1240,2018-08-02 20:02:53,13,28.600,78.200,999.400,21.76,0,6.380,0.118,1.541,78.199,80.150,80.597,80.657,80.584,80.450,80.230,80.176,80.039,79.912,79.682,79.422,79.245,79.267,79.082,79.142,79.755,80.189,80.561,80.988,81.646,81.666,81.876,82.079,82.395,82.813,83.477,83.714,83.190,82.962,83.155,83.765,83.703,83.537,82.946,83.358,84.185,85.036,84.932,84.414,82.589,80.327,78.406,77.559,76.509,74.536,69.994,65.995,61.213,55.605,50.280,45.712,41.348,37.116,33.343,29.575,26.498,25.541
1241,2018-08-02 20:02:53,14,28.600,78.200,999.400,21.76,0,6.380,0.118,1.541,0.008,0.012,0.014,0.016,0.020,0.020,0.022,0.023,0.026,0.027,0.029,0.033,0.035,0.036,0.033,0.030,0.030,0.029,0.029,0.031,0.030,0.029,0.027,0.027,0.023,0.024,0.021,0.022,0.020,0.021,0.019,0.018,0.017,0.018,0.017,0.017,0.017,0.015,0.015,0.015,0.015,0.013,0.012,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1242,2018-08-02 20:06:46,11,28.700,78.000,999.400,24.25,0,6.313,0.233,0.616,28.700,28.186,27.738,27.299,26.926,26.553,26.228,25.883,25.538,25.251,24.903,24.342,23.769,23.275,22.794,22.319,21.800,21.262,20.679,20.233,19.771,19.264,18.680,18.065,17.593,16.926,15.915,14.665,13.469,12.386,11.307,10.185,8.912,7.623,6.361,4.975,3.651,2.399,1.140,-0.184,-1.346,-2.453,-3.730,-5.019,-6.356,-7.646,-8.767,-9.810,-10.875,-12.068,-13.403,-14.816,-16.116,-17.413,-18.823,-20.312,-21.899,-23.672
1243,2018-08-02 20:06:46,12,28.700,78.000,999.400,24.25,0,6.313,0.233,0.616,22.214,22.615,22.443,22.105,21.820,21.525,21.236,20.960,20.691,20.467,20.160,19.712,19.190,18.748,18.339,17.937,17.568,17.171,16.794,16.422,16.031,15.532,15.025,14.530,14.096,13.461,12.550,11.522,10.557,9.666,8.851,8.157,7.440,6.743,6.109,5.560,5.095,4.685,4.293,3.897,3.499,3.118,2.768,2.451,2.161,1.890,1.635,1.394,1.167,0.959,0.776,0.622,0.494,0.389,0.302,0.234,0.183,0.148
1244,2018-08-02 20:06:46,13,28.700,78.000,999.400,24.25,0,6.313,0.233,0.616,78.002,81.675,83.072,83.823,84.470,85.068,85.455,85.985,86.533,86.983,87.368,88.174,88.670,89.097,89.577,90.032,90.856,91.603,92.679,93.008,93.281,93.112,93.227,93.500,93.296,92.718,91.868,91.002,89.726,87.856,86.066,85.136,84.213,82.927,81.560,81.328,81.393,81.425,81.285,80.841,78.702,75.783,73.670,71.574,69.531,66.880,62.862,57.974,52.585,47.367,42.490,38.050,33.522,29.262,25.536,22.378,19.908,18.772
1245,2018-08-02 20:06:46,14,28.700,78.000,999.400,24.25,0,6.313,0.233,0.616,0.011,0.016,0.020,0.023,0.027,0.028,0.031,0.033,0.036,0.038,0.042,0.048,0.054,0.055,0.053,0.049,0.049,0.050,0.049,0.051,0.052,0.052,0.047,0.050,0.045,0.045,0.042,0.043,0.041,0.043,0.040,0.035,0.034,0.034,0.033,0.033,0.030,0.028,0.028,0.026,0.026,0.021,0.018,0.017,0.016,0.013,0.008,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1246,2018-08-02 20:10:39,11,28.700,77.600,999.200,14.43,0,6.413,0.159,2.511,28.700,28.308,27.948,27.572,27.255,26.963,26.697,26.411,26.116,25.871,25.525,25.036,24.470,23.980,23.523,23.028,22.431,21.860,21.291,20.794,20.215,19.638,19.003,18.383,17.827,17.022,15.827,14.482,13.253,12.034,10.761,9.532,8.242,6.849,5.511,4.077,2.716,1.405,0.183,-1.122,-2.335,-3.553,-4.882,-6.368,-7.817,-9.204,-10.287,-11.518,-12.753,-14.016,-15.373,-16.839,-18.287,-19.716,-21.261,-22.818,-24.435,-26.181
1247,2018-08-02 20:10:39,12,28.700,77.600,999.200,14.43,0,6.413,0.159,2.511,22.100,22.504,22.337,22.004,21.726,21.434,21.146,20.875,20.613,20.396,20.089,19.643,19.128,18.698,18.293,17.899,17.539,17.155,16.789,16.426,16.033,15.528,15.016,14.518,14.078,13.432,12.512,11.480,10.506,9.609,8.797,8.115,7.405,6.714,6.086,5.545,5.090,4.690,4.308,3.918,3.522,3.139,2.786,2.468,2.177,1.907,1.651,1.407,1.178,0.967,0.783,0.628,0.499,0.393,0.305,0.236,0.184,0.149
1248,2018-08-02 20:10:39,13,28.700,77.600,999.200,14.43,0,6.413,0.159,2.511,77.600,80.734,81.730,82.196,82.588,82.802,82.905,83.151,83.469,83.725,84.078,84.494,84.944,85.369,85.716,86.267,87.473,88.412,89.414,90.042,90.905,91.064,91.411,91.677,91.882,91.985,92.078,91.683,90.492,89.278,88.528,88.286,87.502,86.829,85.921,86.102,86.595,87.219,87.123,86.739,84.902,82.498,80.550,79.473,78.009,75.757,71.174,66.632,61.320,55.559,50.043,45.114,40.314,35.736,31.506,27.787,24.897,23.539
1249,2018-08-02 20:10:39,14,28.700,77.600,999.200,14.43,0,6.413,0.159,2.511,0.009,0.013,0.016,0.018,0.022,0.022,0.025,0.026,0.029,0.030,0.034,0.038,0.042,0.043,0.040,0.036,0.037,0.037,0.037,0.039,0.038,0.037,0.034,0.035,0.031,0.032,0.028,0.029,0.028,0.028,0.027,0.024,0.023,0.024,0.023,0.023,0.022,0.020,0.021,0.020,0.020,0.017,0.014,0.014,0.013,0.011,0.008,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1250,2018-08-02 20:14:32,11,28.800,76.900,999.400,21.26,0,6.434,0.290,1.393,28.800,28.432,28.073,27.718,27.397,27.090,26.791,26.495,26.194,25.962,25.655,25.184,24.658,24.167,23.726,23.268,22.773,22.236,21.696,21.229,20.695,20.170,19.546,18.929,18.394,17.635,16.439,15.064,13.859,12.628,11.337,10.023,8.706,7.331,6.029,4.576,3.194,1.871,0.645,-0.618,-1.743,-2.872,-4.163,-5.572,-6.965,-8.305,-9.372,-10.544,-11.723,-13.000,-14.387,-15.813,-17.210,-18.645,-20.271,-21.832,-23.464,-25.304
1251,2018-08-02 20:14:32,12,28.800,76.900,999.400,21.26,0,6.434,0.290,1.393,22.020,22.428,22.251,21.909,21.625,21.336,21.068,20.802,20.522,20.303,20.024,19.609,19.099,18.664,18.272,17.892,17.540,17.138,16.787,16.433,16.069,15.575,15.065,14.570,14.141,13.513,12.600,11.567,10.595,9.709,8.921,8.241,7.527,6.830,6.193,5.641,5.173,4.759,4.361,3.957,3.552,3.166,2.813,2.489,2.192,1.914,1.656,1.413,1.183,0.972,0.784,0.627,0.499,0.392,0.306,0.237,0.185,0.149
1252,2018-08-02 20:14:32,13,28.800,76.900,999.400,21.26,0,6.434,0.290,1.393,76.899,79.914,80.860,81.183,81.563,81.848,82.171,82.476,82.737,82.922,83.195,83.651,83.922,84.318,84.633,85.062,85.777,86.433,87.335,87.835,88.595,88.538,88.825,89.082,89.243,89.210,89.364,89.156,87.915,86.927,86.578,86.900,86.331,85.605,84.504,84.731,85.219,85.736,85.431,84.597,82.147,79.290,77.222,75.651,73.744,71.114,66.608,62.105,56.907,51.573,46.393,41.536,36.921,32.621,29.089,25.657,23.015,21.787
1253,2018-08-02 20:14:32,14,28.800,76.900,999.400,21.26,0,6.434,0.290,1.393,0.011,0.017,0.021,0.025,0.029,0.030,0.033,0.036,0.040,0.043,0.046,0.053,0.063,0.065,0.063,0.061,0.061,0.061,0.062,0.064,0.066,0.068,0.063,0.065,0.061,0.061,0.058,0.060,0.059,0.060,0.059,0.051,0.052,0.049,0.049,0.049,0.044,0.042,0.041,0.039,0.036,0.030,0.024,0.022,0.020,0.014,0.009,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1254,2018-08-02 20:18:25,11,28.900,77.400,999.400,15.18,0,6.329,0.311,2.570,28.900,28.534,28.186,27.834,27.506,27.210,26.912,26.624,26.311,26.093,25.784,25.337,24.822,24.355,23.932,23.502,23.028,22.512,22.001,21.571,21.056,20.537,19.928,19.335,18.810,18.061,16.877,15.519,14.306,13.060,11.724,10.401,9.088,7.708,6.383,4.899,3.486,2.151,0.939,-0.319,-1.433,-2.566,-3.880,-5.309,-6.690,-8.026,-9.077,-10.247,-11.425,-12.713,-14.130,-15.566,-16.968,-18.387,-20.033,-21.614,-23.293,-25.126
1255,2018-08-02 20:18:25,12,28.900,77.400,999.400,15.18,0,6.329,0.311,2.570,22.285,22.671,22.493,22.156,21.876,21.589,21.315,21.044,20.753,20.516,20.205,19.753,19.205,18.735,18.319,17.922,17.555,17.141,16.774,16.403,16.019,15.510,14.987,14.476,14.040,13.404,12.488,11.450,10.475,9.583,8.787,8.103,7.388,6.694,6.067,5.532,5.082,4.684,4.299,3.906,3.510,3.133,2.788,2.476,2.189,1.918,1.661,1.417,1.186,0.973,0.786,0.630,0.502,0.395,0.308,0.238,0.185,0.149
1256,2018-08-02 20:18:25,13,28.900,77.400,999.400,15.18,0,6.329,0.311,2.570,77.401,80.330,81.233,81.579,82.015,82.270,82.578,82.839,83.128,83.181,83.346,83.546,83.612,83.743,83.868,84.079,84.610,85.091,85.747,85.957,86.486,86.300,86.412,86.418,86.448,86.277,86.271,85.850,84.569,83.534,83.236,83.425,82.690,81.878,80.891,81.325,82.090,82.793,82.533,81.773,79.413,76.766,75.012,73.823,72.162,69.795,65.382,60.890,55.759,50.484,45.579,40.921,36.425,32.185,28.707,25.296,22.679,21.450
1257,2018-08-02 20:18:25,14,28.900,77.400,999.400,15.18,0,6.329,0.311,2.570,0.012,0.018,0.023,0.027,0.030,0.032,0.034,0.038,0.042,0.045,0.048,0.055,0.066,0.068,0.065,0.064,0.064,0.063,0.065,0.067,0.069,0.071,0.066,0.068,0.065,0.065,0.062,0.063,0.063,0.064,0.062,0.054,0.055,0.051,0.051,0.051,0.046,0.043,0.043,0.041,0.037,0.031,0.025,0.023,0.020,0.014,0.009,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1258,2018-08-02 20:22:18,11,28.900,77.300,999.400,18.3,0,6.606,0.362,1.802,28.900,28.461,28.064,27.686,27.334,27.002,26.671,26.347,26.003,25.752,25.414,24.893,24.325,23.793,23.302,22.803,22.296,21.718,21.125,20.643,20.106,19.586,18.942,18.309,17.783,17.059,15.890,14.531,13.387,12.216,10.988,9.697,8.421,7.088,5.827,4.388,3.023,1.707,0.472,-0.798,-1.898,-2.994,-4.273,-5.672,-7.041,-8.379,-9.445,-10.582,-11.723,-13.015,-14.399,-15.779,-17.127,-18.516,-20.085,-21.597,-23.215,-25.033
1259,2018-08-02 20:22:18,12,28.900,77.300,999.400,18.3,0,6.606,0.362,1.802,22.256,22.666,22.478,22.127,21.838,21.550,21.291,21.025,20.725,20.499,20.228,19.821,19.298,18.845,18.451,18.074,17.725,17.312,16.970,16.617,16.268,15.767,15.247,14.743,14.315,13.683,12.759,11.710,10.722,9.830,9.052,8.378,7.656,6.944,6.297,5.741,5.270,4.853,4.449,4.036,3.622,3.229,2.870,2.541,2.235,1.951,1.686,1.438,1.204,0.986,0.795,0.633,0.503,0.396,0.309,0.240,0.187,0.151
1260,2018-08-02 20:22:18,13,28.900,77.300,999.400,18.3,0,6.606,0.362,1.802,77.300,80.634,81.725,82.136,82.654,83.073,83.592,84.050,84.452,84.708,85.187,85.949,86.405,86.959,87.548,88.240,89.085,89.956,91.254,91.895,92.824,92.745,93.155,93.511,93.678,93.499,93.542,93.244,91.593,90.302,89.804,90.191,89.427,88.423,87.074,87.306,87.825,88.414,88.200,87.374,84.681,81.566,79.404,77.786,75.633,72.871,68.207,63.404,57.883,52.389,47.039,41.826,36.973,32.612,28.927,25.476,22.776,21.567
1261,2018-08-02 20:22:18,14,28.900,77.300,999.400,18.3,0,6.606,0.362,1.802,0.013,0.019,0.024,0.030,0.033,0.036,0.038,0.043,0.047,0.051,0.053,0.061,0.075,0.077,0.074,0.075,0.076,0.074,0.076,0.079,0.082,0.086,0.081,0.083,0.081,0.081,0.079,0.080,0.082,0.082,0.081,0.072,0.074,0.068,0.068,0.068,0.059,0.057,0.055,0.054,0.047,0.038,0.031,0.028,0.024,0.015,0.010,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1262,2018-08-02 20:26:11,11,28.800,77.000,999.300,25.07,0,6.462,0.255,0.778,28.800,28.568,28.288,27.982,27.716,27.469,27.221,26.973,26.731,26.542,26.274,25.885,25.416,24.973,24.594,24.175,23.689,23.187,22.705,22.243,21.679,21.131,20.511,19.907,19.342,18.504,17.205,15.767,14.494,13.134,11.679,10.276,8.903,7.445,6.070,4.573,3.150,1.790,0.582,-0.667,-1.820,-3.011,-4.330,-5.825,-7.277,-8.658,-9.704,-10.981,-12.262,-13.564,-14.972,-16.459,-17.967,-19.506,-21.262,-22.897,-24.569,-26.441
1263,2018-08-02 20:26:11,12,28.800,77.000,999.300,25.07,0,6.462,0.255,0.778,22.049,22.462,22.287,21.945,21.660,21.370,21.097,20.830,20.554,20.338,20.056,19.638,19.131,18.702,18.309,17.929,17.578,17.184,16.831,16.478,16.111,15.614,15.105,14.608,14.177,13.542,12.626,11.590,10.614,9.722,8.928,8.249,7.535,6.837,6.199,5.647,5.180,4.766,4.370,3.968,3.563,3.175,2.818,2.495,2.196,1.919,1.659,1.415,1.186,0.973,0.786,0.629,0.499,0.392,0.306,0.237,0.185,0.150
1264,2018-08-02 20:26:11,13,28.800,77.000,999.300,25.07,0,6.462,0.255,0.778,77.001,79.441,80.040,80.147,80.273,80.281,80.349,80.426,80.433,80.425,80.502,80.552,80.558,80.734,80.743,80.958,81.593,82.072,82.633,83.074,83.902,83.931,84.173,84.330,84.600,84.903,85.527,85.606,84.707,84.356,84.811,85.596,85.334,85.059,84.358,84.839,85.590,86.340,85.982,85.104,82.830,80.284,78.298,77.219,75.605,73.173,68.427,64.308,59.431,53.957,48.659,43.821,39.271,35.027,31.614,28.097,25.329,24.252
1265,2018-08-02 20:26:11,14,28.800,77.000,999.300,25.07,0,6.462,0.255,0.778,0.010,0.016,0.020,0.023,0.027,0.028,0.031,0.033,0.037,0.040,0.043,0.049,0.058,0.059,0.057,0.054,0.055,0.055,0.055,0.057,0.059,0.059,0.054,0.057,0.052,0.053,0.049,0.051,0.050,0.051,0.049,0.042,0.042,0.041,0.041,0.041,0.037,0.035,0.035,0.033,0.031,0.026,0.021,0.020,0.018,0.013,0.009,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1266,2018-08-02 20:30:04,11,28.900,77.400,999.300,24.03,0,5.884,1.225,0.883,28.900,28.649,28.316,28.028,27.756,27.436,27.026,26.618,26.245,26.159,26.022,25.507,25.016,24.460,23.939,23.349,23.087,22.542,21.938,21.419,20.937,20.534,19.818,19.064,18.482,17.829,16.597,15.112,14.074,12.865,11.578,9.925,8.422,7.197,6.050,4.441,2.872,1.472,0.158,-1.123,-1.881,-2.719,-3.756,-5.133,-6.448,-7.905,-8.840,-9.842,-10.939,-12.402,-13.872,-15.144,-16.550,-18.014,-19.757,-21.040,-22.516,-24.694
1267,2018-08-02 20:30:04,12,28.900,77.400,999.300,24.03,0,5.884,1.225,0.883,22.285,22.550,22.309,21.938,21.648,21.366,21.187,20.957,20.558,20.270,20.026,19.658,19.034,18.458,18.048,17.638,17.230,16.679,16.370,15.981,15.701,15.195,14.660,14.151,13.796,13.265,12.366,11.334,10.410,9.642,8.975,8.305,7.579,6.864,6.216,5.663,5.190,4.759,4.332,3.902,3.489,3.118,2.788,2.482,2.184,1.901,1.639,1.400,1.174,0.961,0.772,0.614,0.488,0.387,0.304,0.237,0.186,0.148
1268,2018-08-02 20:30:04,13,28.900,77.400,999.300,24.03,0,5.884,1.225,0.883,77.401,79.401,79.996,79.918,80.051,80.412,81.566,82.526,82.648,81.881,81.516,82.357,81.967,82.014,82.593,83.471,82.765,82.653,83.986,84.485,85.354,84.564,85.070,85.836,86.612,86.567,86.876,87.109,85.249,85.067,85.794,88.118,88.527,86.777,84.703,85.820,87.367,88.091,87.765,86.409,81.464,77.229,74.347,73.063,70.757,68.547,63.365,58.368,53.165,48.712,43.854,38.545,34.286,30.572,27.683,23.995,21.334,20.513
1269,2018-08-02 20:30:04,14,28.900,77.400,999.300,24.03,0,5.884,1.225,0.883,0.060,0.089,0.109,0.123,0.136,0.143,0.151,0.158,0.168,0.173,0.182,0.199,0.222,0.227,0.229,0.232,0.232,0.240,0.251,0.264,0.271,0.279,0.273,0.277,0.275,0.276,0.278,0.279,0.287,0.287,0.293,0.284,0.290,0.291,0.295,0.290,0.282,0.273,0.251,0.234,0.218,0.175,0.138,0.105,0.082,0.029,0.014,0.007,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
